Wavelength (nm),Irradiance W/m2/nm,"Wavelength, microns",E-490 W/m2/micron
1842,1.54E-01,1.842,154
1844,1.54E-01,1.844,154.1
1846,1.54E-01,1.846,153.5
1848,1.51E-01,1.848,151
1850,1.55E-01,1.85,154.6
1852,1.53E-01,1.852,153.4
1854,1.53E-01,1.854,152.5
1856,1.51E-01,1.856,150.9
1858,1.53E-01,1.858,152.5
1860,1.50E-01,1.86,150.3
1862,1.50E-01,1.862,150.4
1864,1.51E-01,1.864,150.9
1866,1.49E-01,1.866,149.4
1868,1.49E-01,1.868,149.2
1870,1.51E-01,1.87,150.8
1872,1.47E-01,1.872,147.3
1874,1.40E-01,1.874,140.1
1876,1.30E-01,1.876,129.9
1878,1.44E-01,1.878,144.1
1880,1.46E-01,1.88,146.2
1882,1.47E-01,1.882,147.4
1884,1.46E-01,1.884,146.4
1886,1.44E-01,1.886,143.9
1888,1.45E-01,1.888,145.3
1890,1.42E-01,1.89,142.4
1892,1.41E-01,1.892,140.8
1894,1.40E-01,1.894,139.6
1896,1.37E-01,1.896,137.3
1898,1.39E-01,1.898,139
1900,1.40E-01,1.9,139.7
1902,1.41E-01,1.902,140.9
1904,1.39E-01,1.904,138.6
1906,1.39E-01,1.906,139
1908,1.38E-01,1.908,137.7
1910,1.38E-01,1.91,137.8
1912,1.35E-01,1.912,135.4
1914,1.37E-01,1.914,137
1916,1.36E-01,1.916,136
1918,1.35E-01,1.918,135.3
1920,1.33E-01,1.92,133.3
1922,1.35E-01,1.922,135
1924,1.34E-01,1.924,134.1
1926,1.34E-01,1.926,134.4
1928,1.32E-01,1.928,132.2
1930,1.31E-01,1.93,131.3
1932,1.31E-01,1.932,130.8
1934,1.32E-01,1.934,132
1936,1.33E-01,1.936,132.8
1938,1.32E-01,1.938,132.1
1940,1.30E-01,1.94,129.9
1942,1.29E-01,1.942,129.4
1944,1.20E-01,1.944,120.3
1946,1.19E-01,1.946,119.2
1948,1.27E-01,1.948,127.1
1950,1.26E-01,1.95,126.1
1952,1.26E-01,1.952,125.5
1954,1.29E-01,1.954,128.6
1956,1.28E-01,1.956,127.6
1958,1.27E-01,1.958,127.1
1960,1.26E-01,1.96,126.1
1962,1.24E-01,1.962,124
1964,1.22E-01,1.964,122.2
1966,1.23E-01,1.966,123.1
1968,1.24E-01,1.968,124
1970,1.24E-01,1.97,123.9
1972,1.21E-01,1.972,121.3
1974,1.21E-01,1.974,120.8
1976,1.22E-01,1.976,122.4
1978,1.19E-01,1.978,119.4
1980,1.20E-01,1.98,119.6
1982,1.21E-01,1.982,120.5
1984,1.20E-01,1.984,119.7
1986,1.18E-01,1.986,117.8
1988,1.20E-01,1.988,119.5
1990,1.20E-01,1.99,119.8
1992,1.18E-01,1.992,118
1994,1.16E-01,1.994,116.2
1996,1.17E-01,1.996,117.3
1998,1.16E-01,1.998,115.9
2000,1.17E-01,2,117
2002,1.16E-01,2.002,116.1
2004,1.15E-01,2.004,114.8
2006,1.15E-01,2.006,114.7
2008,1.15E-01,2.008,115.4
2010,1.15E-01,2.01,114.9
2012,1.15E-01,2.012,114.5
2014,1.14E-01,2.014,113.8
2016,1.14E-01,2.016,113.7
2018,1.13E-01,2.018,113.4
2020,1.12E-01,2.02,111.6
2022,1.11E-01,2.022,110.7
2024,1.12E-01,2.024,111.6
2026,1.12E-01,2.026,111.5
2028,1.11E-01,2.028,110.7
2030,1.09E-01,2.03,108.6
2032,1.10E-01,2.032,109.8
2034,1.09E-01,2.034,109.2
2036,1.08E-01,2.036,108.3
2038,1.06E-01,2.038,106.4
2040,1.08E-01,2.04,107.8
2042,1.08E-01,2.042,107.6
2044,1.08E-01,2.044,107.6
2046,1.07E-01,2.046,107.1
2048,1.06E-01,2.048,106.3
2050,1.06E-01,2.05,105.9
2052,1.05E-01,2.052,104.7
2054,1.05E-01,2.054,104.6
2056,1.05E-01,2.056,104.6
2058,1.04E-01,2.058,104
2060,1.03E-01,2.06,102.8
2062,1.02E-01,2.062,102.3
2064,1.01E-01,2.064,100.5
2066,1.03E-01,2.066,102.5
2068,1.02E-01,2.068,101.9
2070,1.00E-01,2.07,100.3
2072,1.00E-01,2.072,100.4
2074,1.01E-01,2.074,100.9
2076,1.01E-01,2.076,100.6
2078,1.00E-01,2.078,100
2080,9.88E-02,2.08,98.78
2082,9.86E-02,2.082,98.64
2084,9.77E-02,2.084,97.72
2086,9.85E-02,2.086,98.52
2088,9.84E-02,2.088,98.35
2090,9.79E-02,2.09,97.88
2092,9.57E-02,2.092,95.67
2094,9.59E-02,2.094,95.93
2096,9.58E-02,2.096,95.8
2098,9.62E-02,2.098,96.2
2100,9.61E-02,2.1,96.06
2102,9.58E-02,2.102,95.77
2104,9.56E-02,2.104,95.59
2106,9.57E-02,2.106,95.74
2108,9.51E-02,2.108,95.13
2110,9.40E-02,2.11,93.96
2112,9.45E-02,2.112,94.52
2114,9.44E-02,2.114,94.36
2116,9.33E-02,2.116,93.31
2118,9.31E-02,2.118,93.11
2120,9.28E-02,2.12,92.75
2122,9.28E-02,2.122,92.75
2124,9.19E-02,2.124,91.89
2126,9.21E-02,2.126,92.08
2128,9.23E-02,2.128,92.25
2130,9.21E-02,2.13,92.09
2132,9.21E-02,2.132,92.1
2134,9.16E-02,2.134,91.55
2136,9.01E-02,2.136,90.12
2138,9.11E-02,2.138,91.1
2140,9.08E-02,2.14,90.83
2142,9.06E-02,2.142,90.64
2144,9.01E-02,2.144,90.06
2146,8.94E-02,2.146,89.39
2148,8.98E-02,2.148,89.79
2150,8.96E-02,2.15,89.57
2152,8.91E-02,2.152,89.13
2154,8.88E-02,2.154,88.78
2156,8.87E-02,2.156,88.74
2158,8.84E-02,2.158,88.42
2160,8.78E-02,2.16,87.81
2162,8.69E-02,2.162,86.86
2164,8.46E-02,2.164,84.56
2166,7.85E-02,2.166,78.49
2168,8.30E-02,2.168,83
2170,8.56E-02,2.17,85.57
2172,8.59E-02,2.172,85.91
2174,8.59E-02,2.174,85.92
2176,8.53E-02,2.176,85.32
2178,8.43E-02,2.178,84.25
2180,8.50E-02,2.18,84.97
2182,8.43E-02,2.182,84.25
2184,8.46E-02,2.184,84.57
2186,8.47E-02,2.186,84.65
2188,8.28E-02,2.188,82.77
2190,8.30E-02,2.19,83.04
2192,8.38E-02,2.192,83.77
2194,8.35E-02,2.194,83.49
2196,8.32E-02,2.196,83.18
2198,8.30E-02,2.198,82.99
2200,8.27E-02,2.2,82.65
2202,8.23E-02,2.202,82.3
2204,8.21E-02,2.204,82.11
2206,7.97E-02,2.206,79.66
2208,7.97E-02,2.208,79.66
2210,8.08E-02,2.21,80.8
2212,8.11E-02,2.212,81.05
2214,8.07E-02,2.214,80.72
2216,7.99E-02,2.216,79.94
2218,7.97E-02,2.218,79.7
2220,8.00E-02,2.22,79.97
2222,7.96E-02,2.222,79.62
2224,7.93E-02,2.224,79.26
2226,7.81E-02,2.226,78.11
2228,7.83E-02,2.228,78.26
2230,7.83E-02,2.23,78.31
2232,7.82E-02,2.232,78.15
2234,7.80E-02,2.234,78.02
2236,7.76E-02,2.236,77.58
2238,7.65E-02,2.238,76.48
2240,7.64E-02,2.24,76.39
2242,7.64E-02,2.242,76.42
2244,7.62E-02,2.244,76.24
2246,7.61E-02,2.246,76.12
2248,7.52E-02,2.248,75.2
2250,7.54E-02,2.25,75.41
2252,7.51E-02,2.252,75.12
2254,7.40E-02,2.254,74.02
2256,7.42E-02,2.256,74.22
2258,7.44E-02,2.258,74.41
2260,7.42E-02,2.26,74.21
2262,7.30E-02,2.262,72.99
2264,7.33E-02,2.264,73.29
2266,7.32E-02,2.266,73.15
2268,7.33E-02,2.268,73.27
2270,7.30E-02,2.27,72.97
2272,7.28E-02,2.272,72.77
2274,7.25E-02,2.274,72.52
2276,7.24E-02,2.276,72.39
2278,7.24E-02,2.278,72.42
2280,7.17E-02,2.28,71.65
2282,7.01E-02,2.282,70.07
2284,7.13E-02,2.284,71.25
2286,7.12E-02,2.286,71.24
2288,7.13E-02,2.288,71.27
2290,7.11E-02,2.29,71.1
2292,7.07E-02,2.292,70.67
2294,6.92E-02,2.294,69.2
2296,6.91E-02,2.296,69.08
2298,6.92E-02,2.298,69.19
2300,6.95E-02,2.3,69.53
2302,6.96E-02,2.302,69.55
2304,6.93E-02,2.304,69.31
2306,6.92E-02,2.306,69.23
2308,6.90E-02,2.308,69.01
2310,6.87E-02,2.31,68.7
2312,6.87E-02,2.312,68.67
2314,6.83E-02,2.314,68.26
2316,6.78E-02,2.316,67.79
2318,6.75E-02,2.318,67.45
2320,6.77E-02,2.32,67.68
2322,6.68E-02,2.322,66.75
2324,6.54E-02,2.324,65.36
2326,6.56E-02,2.326,65.59
2328,6.63E-02,2.328,66.29
2330,6.62E-02,2.33,66.16
2332,6.58E-02,2.332,65.84
2334,6.57E-02,2.334,65.71
2336,6.54E-02,2.336,65.36
2338,6.50E-02,2.338,64.96
2340,6.52E-02,2.34,65.2
2342,6.54E-02,2.342,65.39
2344,6.51E-02,2.344,65.09
2346,6.49E-02,2.346,64.86
2348,6.47E-02,2.348,64.72
2350,6.45E-02,2.35,64.53
2352,6.29E-02,2.352,62.89
2354,6.24E-02,2.354,62.39
2356,6.28E-02,2.356,62.82
2358,6.27E-02,2.358,62.66
2360,6.31E-02,2.36,63.08
2362,6.31E-02,2.362,63.05
2364,6.30E-02,2.364,62.95
2366,6.28E-02,2.366,62.84
2368,6.26E-02,2.368,62.63
2370,6.21E-02,2.37,62.11
2372,6.21E-02,2.372,62.07
2374,6.07E-02,2.374,60.66
2376,6.16E-02,2.376,61.64
2378,6.19E-02,2.378,61.92
2380,6.17E-02,2.38,61.72
2382,6.10E-02,2.382,60.98
2384,5.89E-02,2.384,58.85
2386,5.91E-02,2.386,59.08
2388,6.00E-02,2.388,60.04
2390,6.03E-02,2.39,60.29
2392,6.01E-02,2.392,60.08
2394,6.00E-02,2.394,60.03
2396,6.00E-02,2.396,59.96
2398,5.99E-02,2.398,59.89
2400,5.94E-02,2.4,59.44
2402,5.97E-02,2.402,59.65
2404,5.95E-02,2.404,59.45
2406,5.92E-02,2.406,59.19
2408,5.92E-02,2.408,59.15
2410,5.90E-02,2.41,59.02
2412,5.89E-02,2.412,58.94
2414,5.73E-02,2.414,57.34
2416,5.60E-02,2.416,55.99
2418,5.75E-02,2.418,57.48
2420,5.77E-02,2.42,57.7
2422,5.77E-02,2.422,57.67
2424,5.73E-02,2.424,57.26
2426,5.72E-02,2.426,57.17
2428,5.71E-02,2.428,57.12
2430,5.71E-02,2.43,57.12
2432,5.70E-02,2.432,57.02
2434,5.64E-02,2.434,56.41
2436,5.62E-02,2.436,56.18
2438,5.60E-02,2.438,55.99
2440,5.64E-02,2.44,56.39
2442,5.62E-02,2.442,56.17
2444,5.60E-02,2.444,56.03
2446,5.50E-02,2.446,54.98
2448,5.46E-02,2.448,54.57
2450,5.46E-02,2.45,54.62
2452,5.43E-02,2.452,54.32
2454,5.46E-02,2.454,54.55
2456,5.37E-02,2.456,53.7
2458,5.39E-02,2.458,53.92
2460,5.46E-02,2.46,54.57
2462,5.44E-02,2.462,54.42
2464,5.44E-02,2.464,54.35
2466,5.41E-02,2.466,54.05
2468,5.39E-02,2.468,53.9
2470,5.29E-02,2.47,52.85
2472,5.33E-02,2.472,53.3
2474,5.31E-02,2.474,53.13
2476,5.34E-02,2.476,53.43
2478,5.30E-02,2.478,53.03
2480,5.18E-02,2.48,51.77
2482,5.14E-02,2.482,51.4
2484,5.22E-02,2.484,52.19
2486,5.16E-02,2.486,51.6
2488,5.17E-02,2.488,51.69
2490,5.23E-02,2.49,52.25
2492,5.20E-02,2.492,51.98
2494,5.18E-02,2.494,51.75
2496,5.15E-02,2.496,51.52
2498,5.15E-02,2.498,51.54
2500,5.16E-02,2.5,51.55
2520,4.98E-02,2.52,49.84
2540,4.81E-02,2.54,48.14
2560,4.67E-02,2.56,46.72
2580,4.55E-02,2.58,45.5
2600,4.46E-02,2.6,44.57
2620,4.31E-02,2.62,43.05
2640,4.21E-02,2.64,42.11
2660,4.08E-02,2.66,40.79
2680,3.97E-02,2.68,39.68
2700,3.87E-02,2.7,38.67
2720,3.76E-02,2.72,37.63
2740,3.66E-02,2.74,36.63
2760,3.55E-02,2.76,35.46
2780,3.47E-02,2.78,34.68
2800,3.39E-02,2.8,33.85
2820,3.30E-02,2.82,32.97
2840,3.21E-02,2.84,32.09
2860,3.12E-02,2.86,31.19
2880,3.03E-02,2.88,30.32
2900,2.97E-02,2.9,29.69
2920,2.89E-02,2.92,28.9
2940,2.82E-02,2.94,28.17
2960,2.75E-02,2.96,27.5
2980,2.68E-02,2.98,26.82
3000,2.61E-02,3,26.12
3020,2.55E-02,3.02,25.47
3040,2.47E-02,3.04,24.65
3060,2.42E-02,3.06,24.22
3080,2.36E-02,3.08,23.64
3100,2.31E-02,3.1,23.06
3120,2.25E-02,3.12,22.46
3140,2.20E-02,3.14,21.98
3160,2.14E-02,3.16,21.44
3180,2.10E-02,3.18,20.96
3200,2.05E-02,3.2,20.48
3220,2.00E-02,3.22,20
3240,1.95E-02,3.24,19.51
3260,1.91E-02,3.26,19.07
3280,1.86E-02,3.28,18.58
3300,1.80E-02,3.3,18.02
3320,1.77E-02,3.32,17.68
3340,1.74E-02,3.34,17.37
3360,1.70E-02,3.36,16.97
3380,1.66E-02,3.38,16.59
3400,1.62E-02,3.4,16.15
3420,1.58E-02,3.42,15.84
3440,1.55E-02,3.44,15.54
3460,1.52E-02,3.46,15.2
3480,1.49E-02,3.48,14.86
3500,1.46E-02,3.5,14.56
3520,1.43E-02,3.52,14.25
3540,1.39E-02,3.54,13.93
3560,1.36E-02,3.56,13.62
3580,1.33E-02,3.58,13.34
3600,1.31E-02,3.6,13.07
3620,1.28E-02,3.62,12.81
3640,1.25E-02,3.64,12.51
3660,1.22E-02,3.66,12.22
3680,1.19E-02,3.68,11.93
3700,1.16E-02,3.7,11.62
3720,1.15E-02,3.72,11.45
3740,1.11E-02,3.74,11.08
3760,1.10E-02,3.76,10.96
3780,1.08E-02,3.78,10.78
3800,1.06E-02,3.8,10.57
3820,1.04E-02,3.82,10.38
3840,1.02E-02,3.84,10.19
3860,9.98E-03,3.86,9.983
3880,9.78E-03,3.88,9.782
3900,9.60E-03,3.9,9.599
3920,9.43E-03,3.92,9.427
3940,9.23E-03,3.94,9.233
3960,9.03E-03,3.96,9.032
3980,8.86E-03,3.98,8.857
4000,8.67E-03,4,8.669
4020,8.56E-03,4.02,8.557
4040,8.39E-03,4.04,8.385
4060,8.22E-03,4.06,8.217
4080,8.05E-03,4.08,8.054
4100,7.89E-03,4.1,7.894
4120,7.74E-03,4.12,7.739
4140,7.59E-03,4.14,7.587
4160,7.44E-03,4.16,7.439
4180,7.29E-03,4.18,7.294
4200,7.15E-03,4.2,7.153
4220,7.02E-03,4.22,7.015
4240,6.88E-03,4.24,6.881
4260,6.75E-03,4.26,6.749
4280,6.62E-03,4.28,6.621
4300,6.50E-03,4.3,6.496
4320,6.37E-03,4.32,6.374
4340,6.25E-03,4.34,6.254
4360,6.14E-03,4.36,6.138
4380,6.02E-03,4.38,6.024
4400,5.91E-03,4.4,5.913
4420,5.80E-03,4.42,5.804
4440,5.70E-03,4.44,5.698
4460,5.59E-03,4.46,5.594
4480,5.49E-03,4.48,5.492
4500,5.39E-03,4.5,5.393
4520,5.30E-03,4.52,5.296
4540,5.20E-03,4.54,5.201
4560,5.11E-03,4.56,5.108
4580,5.02E-03,4.58,5.018
4600,4.93E-03,4.6,4.929
4620,4.84E-03,4.62,4.842
4640,4.76E-03,4.64,4.757
4660,4.67E-03,4.66,4.674
4680,4.59E-03,4.68,4.593
4700,4.51E-03,4.7,4.514
4720,4.44E-03,4.72,4.436
4740,4.36E-03,4.74,4.36
4760,4.29E-03,4.76,4.285
4780,4.21E-03,4.78,4.212
4800,4.14E-03,4.8,4.141
4820,4.07E-03,4.82,4.071
4840,4.00E-03,4.84,4.003
4860,3.94E-03,4.86,3.936
4880,3.87E-03,4.88,3.87
4900,3.81E-03,4.9,3.806
4920,3.74E-03,4.92,3.743
4940,3.68E-03,4.94,3.681
4960,3.62E-03,4.96,3.621
4980,3.56E-03,4.98,3.562
5000,3.50E-03,5,3.504
5050,3.39E-03,5.05,3.394
5100,3.27E-03,5.1,3.267
5150,3.15E-03,5.15,3.146
5200,3.03E-03,5.2,3.03
5250,2.92E-03,5.25,2.92
5300,2.82E-03,5.3,2.815
5350,2.72E-03,5.35,2.715
5400,2.62E-03,5.4,2.619
5450,2.53E-03,5.45,2.527
5500,2.44E-03,5.5,2.439
5550,2.36E-03,5.55,2.355
5600,2.28E-03,5.6,2.275
5650,2.20E-03,5.65,2.198
5700,2.12E-03,5.7,2.124
5750,2.05E-03,5.75,2.054
5800,1.99E-03,5.8,1.986
5850,1.92E-03,5.85,1.921
5900,1.86E-03,5.9,1.859
5950,1.80E-03,5.95,1.799
6000,1.74E-03,6,1.742
6050,1.69E-03,6.05,1.687
6100,1.63E-03,6.1,1.634
6150,1.58E-03,6.15,1.583
6200,1.53E-03,6.2,1.534
6250,1.49E-03,6.25,1.487
6300,1.44E-03,6.3,1.442
6350,1.40E-03,6.35,1.399
6400,1.36E-03,6.4,1.357
6450,1.32E-03,6.45,1.317
6500,1.28E-03,6.5,1.278
6550,1.24E-03,6.55,1.24
6600,1.20E-03,6.6,1.204
6650,1.17E-03,6.65,1.17
6700,1.14E-03,6.7,1.136
6750,1.10E-03,6.75,1.104
6800,1.07E-03,6.8,1.073
6850,1.04E-03,6.85,1.043
6900,1.01E-03,6.9,1.014
6950,9.86E-04,6.95,0.9862
7000,9.59E-04,7,0.9592
7050,9.33E-04,7.05,0.9331
7100,9.08E-04,7.1,0.908
7150,8.84E-04,7.15,0.8836
7200,8.60E-04,7.2,0.8601
7250,8.37E-04,7.25,0.8374
7300,8.15E-04,7.3,0.8154
7350,7.94E-04,7.35,0.7942
7400,7.74E-04,7.4,0.7736
7450,7.54E-04,7.45,0.7537
7500,7.34E-04,7.5,0.7344
7550,7.16E-04,7.55,0.7158
7600,6.98E-04,7.6,0.6977
7650,6.80E-04,7.65,0.6802
7700,6.63E-04,7.7,0.6633
7750,6.47E-04,7.75,0.6469
7800,6.31E-04,7.8,0.631
7850,6.16E-04,7.85,0.6156
7900,6.01E-04,7.9,0.6006
7950,5.86E-04,7.95,0.5862
8000,5.72E-04,8,0.5721
8050,5.59E-04,8.05,0.5585
8100,5.45E-04,8.1,0.5453
8150,5.32E-04,8.15,0.5324
8200,5.20E-04,8.2,0.52
8250,5.08E-04,8.25,0.5079
8300,4.96E-04,8.3,0.4961
8350,4.85E-04,8.35,0.4847
8400,4.74E-04,8.4,0.4737
8450,4.63E-04,8.45,0.4629
8500,4.53E-04,8.5,0.4525
8550,4.42E-04,8.55,0.4423
8600,4.32E-04,8.6,0.4324
8650,4.23E-04,8.65,0.4228
8700,4.14E-04,8.7,0.4135
8750,4.04E-04,8.75,0.4044
8800,3.96E-04,8.8,0.3956
8850,3.87E-04,8.85,0.387
8900,3.79E-04,8.9,0.3787
8950,3.71E-04,8.95,0.3706
9000,3.63E-04,9,0.3627
9050,3.55E-04,9.05,0.355
9100,3.48E-04,9.1,0.3475
9150,3.40E-04,9.15,0.3402
9200,3.33E-04,9.2,0.3331
9250,3.26E-04,9.25,0.3262
9300,3.20E-04,9.3,0.3195
9350,3.13E-04,9.35,0.3129
9400,3.07E-04,9.4,0.3065
9450,3.00E-04,9.45,0.3003
9500,2.94E-04,9.5,0.2942
9550,2.88E-04,9.55,0.2883
9600,2.83E-04,9.6,0.2825
9650,2.77E-04,9.65,0.2769
9700,2.71E-04,9.7,0.2714
9750,2.66E-04,9.75,0.2661
9800,2.61E-04,9.8,0.2608
9850,2.56E-04,9.85,0.2558
9900,2.51E-04,9.9,0.2508
9950,2.46E-04,9.95,0.246
10000,2.41E-04,10,0.2412
11000,1.64E-04,11,0.1635
12000,1.15E-04,12,0.1152
13000,8.34E-05,13,8.34E-02
14000,6.19E-05,14,6.19E-02
15000,4.69E-05,15,4.69E-02
16000,3.61E-05,16,3.61E-02
17000,2.83E-05,17,2.83E-02
18000,2.25E-05,18,2.25E-02
19000,1.81E-05,19,1.81E-02
20000,1.47E-05,20,1.47E-02
25000,6.05E-06,25,6.05E-03
30000,2.93E-06,30,2.93E-03
35000,1.58E-06,35,1.58E-03
40000,9.31E-07,40,9.31E-04
50000,3.83E-07,50,3.83E-04
60000,1.85E-07,60,1.85E-04
80000,5.88E-08,80,5.88E-05
100000,2.42E-08,100,2.42E-05
120000,1.17E-08,120,1.17E-05
150000,4.81E-09,150,4.81E-06
200000,1.53E-09,200,1.53E-06
250000,6.28E-10,250,6.28E-07
300000,2.95E-10,300,2.95E-07
400000,1.01E-10,400,1.01E-07
1000000,3.38E-12,1000,3.38E-09
